Scenario,ID,Eta,ETA_VAL,ETA_SE,OMEGA_SD,ETA_SE/OMEGA_SD,SHRINK_SUB_VAR,SHRINK_SUB_SD
WorkFlow,1,nVmax,0.192241,0.048111,0.331181,0.145273,0.021104,0.010608
WorkFlow,2,nVmax,-0.124522,0.204864,0.331181,0.618588,0.382651,0.214284
WorkFlow,3,nVmax,-0.012441,0.173500,0.331181,0.523883,0.274453,0.148210
WorkFlow,4,nVmax,0.027320,0.071731,0.331181,0.216591,0.046911,0.023737
WorkFlow,5,nVmax,-0.056667,0.106863,0.331181,0.322673,0.104118,0.053490
WorkFlow,6,nVmax,0.274936,0.079802,0.331181,0.240962,0.058063,0.029466
WorkFlow,7,nVmax,0.314725,0.094151,0.331181,0.284289,0.080820,0.041261
WorkFlow,8,nVmax,0.079282,0.104427,0.331181,0.315317,0.099425,0.051013
WorkFlow,9,nVmax,-0.062882,0.169109,0.331181,0.510624,0.260737,0.140196
WorkFlow,10,nVmax,0.046013,0.101747,0.331181,0.307226,0.094388,0.048363
WorkFlow,11,nVmax,-0.218674,0.209024,0.331181,0.631148,0.398348,0.224338
WorkFlow,12,nVmax,-0.170842,0.248535,0.331181,0.750451,0.563176,0.339074
WorkFlow,13,nVmax,0.008233,0.130915,0.331181,0.395298,0.156261,0.081447
WorkFlow,14,nVmax,0.101055,0.168937,0.331181,0.510106,0.260208,0.139889
WorkFlow,15,nVmax,-0.220655,0.211985,0.331181,0.640088,0.409712,0.231698
WorkFlow,16,nVmax,0.084664,0.110388,0.331181,0.333317,0.111100,0.057185
WorkFlow,17,nVmax,-0.358230,0.237236,0.331181,0.716333,0.513133,0.302242
WorkFlow,18,nVmax,-0.112932,0.148199,0.331181,0.447487,0.200245,0.105710
WorkFlow,19,nVmax,0.190142,0.088999,0.331181,0.268733,0.072218,0.036785
WorkFlow,20,nVmax,-0.543805,0.273409,0.331181,0.825558,0.681547,0.435683
WorkFlow,21,nVmax,0.111572,0.118034,0.331181,0.356404,0.127023,0.065668
WorkFlow,22,nVmax,-0.184957,0.209079,0.331181,0.631314,0.398557,0.224472
WorkFlow,23,nVmax,0.113936,0.151490,0.331181,0.457425,0.209237,0.110752
WorkFlow,24,nVmax,-0.188571,0.223787,0.331181,0.675724,0.456603,0.262845
WorkFlow,25,nVmax,0.224418,0.091356,0.331181,0.275851,0.076094,0.038799
WorkFlow,26,nVmax,0.386087,0.087156,0.331181,0.263169,0.069258,0.035250
WorkFlow,27,nVmax,0.256943,0.061113,0.331181,0.184531,0.034052,0.017173
WorkFlow,28,nVmax,-0.565373,0.244735,0.331181,0.738976,0.546086,0.326269
WorkFlow,29,nVmax,0.356390,0.092925,0.331181,0.280588,0.078729,0.040172
WorkFlow,30,nVmax,0.619715,0.078285,0.331181,0.236380,0.055876,0.028339
WorkFlow,31,nVmax,-0.598468,0.293333,0.331181,0.885720,0.784500,0.535780
WorkFlow,32,nVmax,-0.023518,0.199609,0.331181,0.602720,0.363272,0.202048
WorkFlow,33,nVmax,0.346258,0.093707,0.331181,0.282948,0.080060,0.040865
WorkFlow,34,nVmax,0.033148,0.084245,0.331181,0.254379,0.064709,0.032895
WorkFlow,35,nVmax,-0.104782,0.146608,0.331181,0.442682,0.195968,0.103322
WorkFlow,36,nVmax,0.499181,0.091750,0.331181,0.277040,0.076751,0.039142
WorkFlow,37,nVmax,-0.306340,0.252477,0.331181,0.762354,0.581183,0.352840
WorkFlow,38,nVmax,0.406579,0.098354,0.331181,0.296980,0.088197,0.045116
WorkFlow,39,nVmax,0.460832,0.078257,0.331181,0.236298,0.055837,0.028319
WorkFlow,40,nVmax,0.415377,0.064992,0.331181,0.196245,0.038512,0.019445
WorkFlow,41,nVmax,0.175994,0.061233,0.331181,0.184894,0.034186,0.017242
WorkFlow,42,nVmax,0.390579,0.089227,0.331181,0.269421,0.072588,0.036977
WorkFlow,43,nVmax,0.274940,0.127036,0.331181,0.383586,0.147138,0.076495
